Conversation	Speaker	Transcript
Spoken 1	Clerk	Tony 's Pizza . How can I help you ?
Spoken 1	User	Hi , I 'd like to order pizza today .
Spoken 1	Clerk	You want a pizza ? What kind of pizza would you like ?
Spoken 1	User	Can I have the Hawaiian pizza please ?
Spoken 1	Clerk	The Hawaiian pizza , that comes with <topping> pineapple ham </topping> mozzarella . Um , What size would you like that ?
Spoken 1	User	Um , how many people does the <size> large </size> serve ?
Spoken 1	Clerk	Um so large is <numeric> 14 </numeric> inches . So , I mean , if you cut them up real thin , you could probably get like up to 20 people . But we usually say around like anywhere from <address> eight to 10 people </address>
Spoken 1	User	Okay , that 's perfect . Thank you . And how much does that one cost ?
Spoken 1	Clerk	That one ... Um , it depends on the cross thinness . Um , so like if you just want like a plain pizza , it 's fourteen dollars um but if you were to get deep dish or gluten free that 's sixteen or twenty-one respectively .
Spoken 1	User	Okay , can I get the <crust> regular </crust> please ?
Spoken 1	Clerk	Alright r-regular , large Hawaiian pizza . Did you want any additional toppings ?
Spoken 1	User	Um , no , thank you .
Spoken 1	Clerk	Alright . Any sides or drinks .
Spoken 1	User	Um I think the <side> breadsticks </side>
Spoken 1	Clerk	Breadsticks . All right , cool . Um and uh did you want to pick up the pizza , or , uh have it delivered ?
Spoken 1	User	Um can I have it delivered , please ?
Spoken 1	Clerk	Sure , there 's a <quant> three </quant> <beverage> dollar </beverage> <modality> delivery </modality> fee . Is that okay ?
Spoken 1	User	Yes . Also , just wondering how much did the breadsticks cost ?
Spoken 1	Clerk	Uh breadsticks were seven dollars .
Spoken 1	User	Okay , thank you .
Spoken 1	Clerk	Alright , Um , do you want to pay over the phone or do you want to pay your delivery person ?
Spoken 1	User	I can pay over the phone .
Spoken 1	Clerk	Great ! Okay Just give me one second .
Spoken 1	Clerk	Okay , I just need the type of card like Mastercard , Visa whatever um , or whatever it is . Um , And then the name on the card .
Spoken 1	User	Okay , the card type is mycard and the name is Hannah Smith .
Spoken 1	Clerk	Cool , and then they just give me the numbers . I 'll put those in
Spoken 1	User	The card number is one-two-three-four-five and the expiration is end of the year .
Spoken 1	Clerk	Great alright um lem me just put that through . Hold on .
Spoken 1	Clerk	Alright , It went through , um , there 'll be receipt taped to your box that will have your receipt and everything . And do n't forget to tip your driver .
Spoken 1	User	Okay , I 'll send you my address
Spoken 1	Clerk	Yes , yes , we would um , gim me a second while i get a pen , and I can write that down .
Spoken 1	User	Okay
Spoken 1	Clerk	Okay . Yeah , uh well can I get your name first actually ?
Spoken 1	User	Yes . Hannah Smith .
Spoken 1	Clerk	Okay .
Spoken 1	Clerk	And your address .
Spoken 1	User	Um 123 Elm Street .
Spoken 1	Clerk	Alright , um That should be there in about <time> 25 minutes </time>
Spoken 1	User	All right . Thank you .
Spoken 1	Clerk	Great no problem . Have a good day .
Spoken 1	User	You too .
Spoken 1	Clerk	Bye .
Spoken 2	Clerk	Tony 's Pizza .
Spoken 2	User	Hi um I 'm throwing a graduation party for my brother , um , it 's actually at the end of the week , but I 'm shopping around for prices now . Um , how much do you , how many pizzas Do you think I would need for <quant> 50 </quant> people ?
Spoken 2	Clerk	Ummm , say six or seven to be safe .
Spoken 2	User	Okay . Um , and what size would those need to be ?
Spoken 2	Clerk	Large
Spoken 2	User	Okay . Um , what is the price of your <size> large </size> pizzas and is this the store . I saw coupons online for ?
Spoken 2	User	Do you have any coupons or ?
Spoken 2	Clerk	We generally do n't . Um , we have a program for customers that come in a lot like rewards . So if you sign up for that and buy pizzas , you 'll get points .
Spoken 2	User	Hmm , okay . So , um , and also just , I just do n't even know like , what kinds of pizzas I should order for that many people . Um like , what do you think are like the favorites here ?
Spoken 2	Clerk	Most common order is plain , or <topping> pepperoni </topping>
Spoken 2	User	Just cheese or <pizza_type> pepperoni </pizza_type> ?
Spoken 2	Clerk	Yeah .
