Conversation	Speaker	Transcript
Spoken_1	Clerk	Hello , this is UW pizza . How are you doing today ?
Spoken_1	User	Ah ... I need to order a pizza .
Spoken_1	Clerk	Ok. ah ... would you like to <modality> pick up </modality> your order or get it delivered ?
Spoken_1	User	Delivery please .
Spoken_1	Clerk	Ok. Ah ... can I have your address and phone number please .
Spoken_1	User	Address is <address> 1410 NE Campus Parkway Seattle , WA 98195 </address> .
Spoken_1	Clerk	Ok ... can I also have your phone number ?
Spoken_1	User	My phone number is <number> 206-123-4567 </number>
Spoken_1	Clerk	Nice . Ah ... can I also get your name ?
Spoken_1	User	My name is John .
Spoken_1	Clerk	Ok John , what would you like to order today ?
Spoken_1	User	I like to order <pizza_type> 4 cheese </pizza_type> pizza .
Spoken_1	Clerk	Ok , <pizza_type> 4 cheese </pizza_type> pizza . Do you need any extra toppings on your <pizza_type> 4 cheese </pizza_type> pizza ?
Spoken_1	User	I need black <topping> olives </topping> , <topping> mushrooms </topping> , and <topping> green peppers </topping> .
Spoken_1	Clerk	Ok , anything else ?
Spoken_1	User	Nope , that ’ s it .
Spoken_1	Clerk	Ok , and what kind of pizza crust would you like to have today ? We got thin , regular , deep dish and gluten-free crusts .
Spoken_1	User	Regular .
Spoken_1	Clerk	Ok so regular crust . And what size would you like to have for your pizza ?
Spoken_1	User	Medium .
Spoken_1	Clerk	Ok , and do you need any sides for your order ?
Spoken_1	User	One Caesar salad .
Spoken_1	Clerk	Ok , one Caesar salad . And would you like to have any drinks ?
Spoken_1	User	One Cola .
Spoken_1	Clerk	Ok , one Cola . Ok , ah just to make sure your order is correct . So you have a <pizza_type> 4 cheese </pizza_type> pizza with <topping> extra black olives </topping> , <topping> green peppers </topping> and <topping> mushrooms </topping> ... and you also have <crust> regular </crust> crust ... and your size for your pizza is medium with Caesar salad as side dish , and you also order one Cola for your drink . Is that all correct ?
Spoken_1	User	Yeah . That ’ s correct .
Spoken_1	Clerk	Ok , that ’ s nice . So your total for today will be 33.5 dollars plus 3 dollars deliver fee . Does that sound good to you ?
Spoken_1	User	Oh that ’ s good .
Spoken_1	Clerk	Ok so your order will be at your house in <time> 30 minutes </time> . And you are all set . Wish you a good day . Bye .
Spoken_1	User	Bye .
Spoken_2	Clerk	Hello , this is UW pizza . What can I help you today ?
Spoken_2	User	I ’ d like to order .
Spoken_2	Clerk	O~k~.Would you like to <modality> pick up </modality> your pizza or would you like your pizza to be delivered ?
Spoken_2	User	I like to <modality> pick up </modality> .
Spoken_2	Clerk	<modality> Ok pick up </modality> .
Spoken_2	User	Yes .
Spoken_2	Clerk	Ok that ’ s fine . Can I have your address and phone number please ?
Spoken_2	User	My address is Address is <address> 1410 NE Campus Parkway Seattle </address> .
Spoken_2	Clerk	Um hum .
Spoken_2	User	WA 98195 .
Spoken_2	Clerk	And also your phone number ?
Spoken_2	User	Oh , my phone number is 206-123-4567 .
Spoken_2	Clerk	O~k~ ... and what would you like to order today ?
Spoken_2	User	I would like to have <quant> one </quant> <pizza_type> pepperoni </pizza_type> , one Meat Lover and <quant> one </quant> <pizza_type> veggie supreme </pizza_type> .
Spoken_2	Clerk	Um hum ... and would you like any extra toppings for each of your pizza ?
Spoken_2	User	Oh no , that ’ s enough .
Spoken_2	Clerk	And what kind of pizza crust would you like for each of your pizza ?
Spoken_2	User	Uh ... thin crust for pepper , and regular crust for Meat Lover and <crust> deep dish </crust> for <pizza_type> veggie supreme </pizza_type> .
Spoken_2	Clerk	Ok. And what size would you like for each of your pizza ?
Spoken_2	User	All large .
Spoken_2	Clerk	Ok , all of them are large .
Spoken_2	User	Yeah .
Spoken_2	Clerk	Sounds good sounds good . And do you need any other side dishes ?
Spoken_2	User	Side dish…uh I need one bread stick and <quant> one </quant> <pizza_type> cheese </pizza_type> stick .
Spoken_2	Clerk	Ok. Do you need any drinks ?
Spoken_2	User	Five root beers .
Spoken_2	Clerk	Ok. Just to repeat your order . You like to have <quant> one </quant> <size> large </size> <pizza_type> pepperoni </pizza_type> with <crust> thin </crust> crust , <quant> one </quant> <size> large </size> Meat Lover with <crust> regular </crust> crust and <quant> one </quant> <size> large </size> <pizza_type> veggie supreme </pizza_type> with <crust> deep dish </crust> crust .
Spoken_2	User	Um .
Spoken_2	Clerk	And you also order one <pizza_type> cheese </pizza_type> stick and bread stick for your side dish .
Spoken_2	User	Yeah .
Spoken_2	Clerk	And you also order five root beers for your drink .
Spoken_2	User	Yes .
Spoken_2	Clerk	Are they all correct ?
Spoken_2	User	Correct .
Spoken_2	Clerk	Ok . So the total for your order will be 80.5 dollars . Can I have your credit card information ?
Spoken_2	User	Yes , my card type is MyCard , and my credit card number is <numeric> 12345 </numeric> , and the expiration date is end of the year .
Spoken_2	Clerk	Ok , and you are all set . Ah ... you can <modality> pick up </modality> in <time> 45 minutes </time> . Is that ok ?
Spoken_2	User	Ok. That ’ s ok .
Spoken_2	Clerk	Ok , have a good day .
Spoken_2	User	Bye .
Spoken_2	Clerk	Bye .
Spoken_2	User	Thank you .
Spoken_2	Clerk	Thank you .
Spoken_3	Clerk	Hello , this is UW pizza . What can I help you today ?
Spoken_3	User	I like to order a Hawaiin pizza with <quant> no </quant> <topping> pineapple </topping> .
Spoken_3	Clerk	Ok ... before you make your order , can I have your name ?
Spoken_3	User	Ohohoh ... my name is John .
Spoken_3	Clerk	Ok , would you like to <modality> pick up </modality> your pizza or would you like your pizza to be delivered ?
Spoken_3	User	I like to get my pizza delivered .
Spoken_3	Clerk	Ok nice ... ah ... can I also have your address and phone number please ?
Spoken_3	User	My address is Address is <address> 1410 NE Campus Parkway Seattle , WA 98195 </address> .
Spoken_3	Clerk	Un hum . And you phone number ?
Spoken_3	User	my phone number is 206-123-4567 .
Spoken_3	Clerk	Ok nice . And what would you like to order today ?
Spoken_3	User	Oh , I like to order a Hawaiin pizza without no <topping> pineapple </topping> .
Spoken_3	Clerk	O~~k~uh ... that ’ s unusual cuz our Hawaiin pizza usually comes with <topping> pineapple </topping> .
Spoken_3	User	But I hate <topping> pineapple </topping> . So I don ’ t want <topping> pineapple </topping> on my pizza .
Spoken_3	Clerk	Oh really . Ah ... let me ask our chef ... I will get back to you in one second .
Spoken_3	User	Ok~
Spoken_3	Clerk	Hi John ... after checking with our chef , our Hawaiin pizza must go with <topping> pineapple </topping> . Is it still working for you ? Or do you wan na order other pizza ?
Spoken_3	User	Uh uh ... no..I thought I can just order the pizza with <topping> only ham </topping> , mozzarella instead .
Spoken_3	Clerk	oh ok…so you wan na customize your pizza . So do you need extra toppings on your customized pizza ?
Spoken_3	User	No , that ’ s it .
Spoken_3	Clerk	Um ... what kind of pizza crust would you like to have on your customized pizza ?
Spoken_3	User	Gluten free please .
Spoken_3	Clerk	Ok. Um ... what size is your pizza ?
Spoken_3	User	Small size .
Spoken_3	Clerk	O~k . Do you need any side dishes ?
Spoken_3	User	No thanks .
Spoken_3	Clerk	Ok , do you need any drinks ?
Spoken_3	User	No .
Spoken_3	Clerk	Ok , just to double check your order today . So you would like to have one customized pizza , that is pizza with <topping> only ham </topping> and mozzarella with <crust> gluten free </crust> crust and medium size . Is that… ( interrupted )
Spoken_3	User	Uh no , I said it is <size> small </size> size .
Spoken_3	Clerk	Oh , sorry about that . So it is a <size> small </size> size pizza . And your total today will be <address> 15 plus 3 dollars delivery fee </address> . And it ’ s gon na take about 30 minutes to get it delivered to your place . Does it sound good ?
Spoken_3	User	There is a <quant> 3 </quant> <beverage> dollars </beverage> <modality> delivery </modality> fee ?
Spoken_3	Clerk	Yes .
Spoken_3	User	Oh I think I can just go pick today .
Spoken_3	Clerk	O~k . So the total will be 15 dollars instead .
Spoken_3	User	Ok .
Spoken_3	Clerk	And you can <modality> pick up </modality> your pizza in <time> 15 minutes </time> . Does that sound good to you ?
Spoken_3	User	Sounds nice .
Spoken_3	Clerk	Ok , have a nice day !
Spoken_3	User	Thank you , bye bye .
Spoken_3	Clerk	Bye~
Spoken_4	Clerk	Hello , this is UW pizza .
Spoken_4	User	Hi , I ’ d like to order pizza today .
